Wavelength [nm], Intensity [64 bit] LiF_1.tif
7.37809356911375, 90.53125
7.38611141304248, 89.5
7.39412814911669, 86.171875
7.40214378036416, 83.078125
7.41015830981267, 82.203125
7.418171740489999, 86.515625
7.42618407542393, 98.046875
7.43419531764224, 118.8125
7.44220547017271, 147.9375
7.45021453604312, 198.484375
7.45822251828125, 277.640625
7.46622941991488, 388.890625
7.4742352439717905, 509.671875
7.48223999347976, 545.421875
7.49024367146657, 452.1875
7.498246280959999, 352.375
7.506247824987829, 306.171875
7.51424830657784, 278.125
7.52224772875781, 251.34375
7.53024609455552, 219.03125
7.53824340699875, 182.09375
7.5462396691152795, 157.03125
7.5542348839328906, 134.65625
7.56222905447936, 116.59375
7.57022218378247, 103.671875
7.57821427487, 94.828125
7.5862053307697295, 88.421875
7.5941953545094405, 88.046875
7.60218434911691, 83.078125
7.610172317619919, 77.859375
7.61815926304625, 79.8125
7.62614518842368, 81.359375
7.634130096779989, 73.8125
7.64211399114296, 73.5625
7.65009687454037, 74.625
7.65807875, 72.8125
7.66605962054963, 74.59375
7.67403948921704, 72.1875
7.6820183590300095, 76.40625
7.68999623301632, 76.703125
7.69797311420375, 76.90625
7.70594900562008, 75.859375
7.713923910293089, 74.609375
7.72189783125056, 73.75
7.72987077152027, 74.890625
7.73784273413, 80.109375
7.745813722107529, 82.96875
7.75378373848064, 92.5
7.76175278627711, 104.015625
7.76972086852472, 129.359375
7.77768798825125, 170.953125
7.78565414848448, 235.140625
7.79361935225219, 336.15625
7.80158360258216, 457.640625
7.80954690250217, 536.34375
7.81750925504, 510.1875
7.82547066322343, 411.484375
7.83343113008024, 321.15625
7.841390658638209, 258.765625
7.84934925192512, 210.0
7.85730691296875, 174.828125
7.86526364479688, 153.234375
7.87321945043729, 131.921875
7.88117433291776, 118.625
7.88912829526607, 106.03125
7.89708134051, 97.140625
7.9050334716773305, 91.71875
7.91298469179584, 86.28125
7.92093500389331, 85.375
7.92888441099752, 83.703125
7.936832916136249, 78.84375
7.94478052233728, 76.078125
7.952727232628391, 75.109375
7.96067305003736, 77.109375
7.96861797759197, 76.828125
7.97656201832, 74.25
7.98450517524923, 73.6875
7.99244745140744, 75.59375
8.00038884982241, 76.765625
8.00832937352192, 78.84375
8.016269025533749, 80.734375
8.02420780888568, 80.203125
8.032145726605489, 85.453125
8.04008278172096, 88.765625
8.04801897725987, 88.140625
8.05595431625, 85.4375
8.06388880171913, 85.390625
8.07182243669504, 85.421875
8.07975522420551, 83.28125
8.087687167278318, 82.125
8.09561826894125, 77.71875
8.10354853222208, 79.0625
8.11147796014859, 79.421875
8.11940655574856, 76.640625
8.12733432204977, 76.125
8.13526126208, 79.984375
8.14318737886703, 82.703125
8.15111267543864, 83.140625
8.15903715482261, 82.953125
8.16696082004672, 90.640625
8.17488367413875, 89.96875
8.18280572012648, 89.515625
8.19072696103769, 89.734375
8.19864739990016, 89.921875
8.206567039741671, 90.796875
8.21448588359, 90.859375
8.22240393447293, 84.953125
8.23032119541824, 87.09375
8.23823766945371, 92.78125
8.24615335960712, 96.34375
8.254068268906249, 97.296875
8.26198240037888, 100.203125
8.26989575705279, 109.28125
8.27780834195576, 121.59375
8.28572015811557, 133.65625
8.29363120856, 176.546875
8.30154149631683, 247.96875
8.309451024413839, 357.0625
8.317359795878811, 549.625
8.325267813739519, 884.71875
8.33317508102375, 1327.171875
8.34108160075928, 1636.515625
8.34898737597389, 1527.875
8.356892409695359, 1053.46875
8.36479670495147, 647.203125
8.37270026477, 443.421875
8.380603092178731, 341.984375
8.38850519020544, 283.46875
8.39640656187791, 258.765625
8.40430721022392, 290.484375
8.412207138271249, 382.28125
8.42010634904768, 504.171875
8.42800484558099, 676.515625
8.43590263089896, 963.359375
8.44379970802937, 1448.234375
8.451696080000001, 1918.546875
8.45959174983863, 1602.421875
8.467486720573039, 732.6875
8.47538099523101, 324.234375
8.48327457684032, 203.625
8.491167468428749, 161.765625
8.49905967302408, 142.140625
8.50695119365409, 133.625
8.51484203334656, 124.296875
8.522732195129269, 114.828125
8.530621682029999, 109.578125
8.53851049707653, 105.234375
8.54639864329664, 105.4375
8.55428612371811, 110.484375
8.56217294136872, 115.25
8.57005909927625, 114.484375
8.57794460046848, 115.671875
8.58582944797319, 113.015625
8.593713644818159, 106.234375
8.60159719403117, 100.046875
8.609480098639999, 100.546875
8.61736236167243, 98.09375
8.625243986156239, 101.15625
8.633124975119209, 101.765625
8.64100533158912, 102.671875
8.648885058593748, 100.4375
8.65676415916088, 96.8125
8.664642636318291, 95.984375
8.67252049309376, 95.796875
8.68039773251507, 95.859375
8.68827435761, 101.984375
8.696150371406329, 105.46875
8.70402577693184, 119.78125
8.71190057721431, 124.21875
8.71977477528152, 137.21875
8.727648374161252, 153.828125
8.73552137688128, 170.328125
8.74339378646939, 185.59375
8.75126560595336, 183.25
8.75913683836097, 174.328125
8.76700748672, 154.296875
8.774877554058229, 128.0625
8.78274704340344, 116.3125
8.790615957783409, 112.328125
8.798484300225919, 114.203125
8.80635207375875, 119.5625
8.814219281409681, 127.546875
8.82208592620649, 125.015625
8.82995201117696, 127.640625
8.837817539348869, 122.0625
8.845682513749999, 112.984375
8.85354693740813, 109.46875
8.86141081335104, 106.71875
8.86927414460651, 102.4375
8.87713693420232, 104.40625
8.88499918516625, 106.171875
8.892860900526081, 117.765625
8.900722083309589, 123.6875
8.90858273654456, 132.59375
8.91644286325877, 146.234375
8.92430246648, 151.859375
8.93216154923603, 132.65625
8.940020114554638, 109.46875
8.94787816546361, 99.515625
8.955735704990719, 96.109375
8.96359273616375, 93.21875
8.97144926201048, 100.453125
8.979305285558691, 105.203125
8.98716080983616, 116.9375
8.995015837870671, 134.078125
9.002870372690001, 151.0625
9.01072441732193, 155.765625
9.01857797479424, 150.734375
9.02643104813471, 139.0625
9.03428364037112, 129.921875
9.04213575453125, 117.3125
9.04998739364288, 114.796875
9.05783856073379, 116.0625
9.06568925883176, 111.703125
9.07353949096457, 114.859375
9.081389260160002, 113.96875
9.089238569445829, 115.234375
9.097087421849839, 115.546875
9.10493582039981, 111.8125
9.11278376812352, 105.203125
9.12063126804875, 100.734375
9.128478323203279, 102.328125
9.13632493661489, 101.546875
9.144171111311358, 99.5
9.15201685032047, 100.046875
9.15986215667, 99.25
9.16770703338773, 99.703125
9.17555148350144, 100.6875
9.18339551003891, 97.5625
9.19123911602792, 100.34375
9.199082304496251, 104.859375
9.20692507847168, 112.296875
9.21476744098199, 114.390625
9.22260939505496, 117.46875
9.23045094371837, 117.1875
9.238292090000002, 115.3125
9.24613283692763, 117.859375
9.25397318752904, 113.90625
9.26181314483201, 122.671875
9.269652711864321, 159.390625
9.27749189165375, 190.484375
9.285330687228079, 226.75
9.293169101615089, 242.6875
9.301007137842559, 231.703125
9.30884479893827, 205.625
9.316682087930001, 171.484375
9.324519007845531, 152.390625
9.33235556171264, 141.671875
9.340191752559111, 140.5625
9.348027583412719, 136.28125
9.35586305730125, 130.640625
9.36369817725248, 136.5625
9.37153294629419, 146.90625
9.379367367454162, 161.703125
9.387201443760171, 184.609375
9.39503517824, 222.109375
9.402868573921431, 338.78125
9.41070163383224, 647.78125
9.418534361000209, 1308.078125
9.42636675845312, 2513.9375
9.43419882921875, 4351.90625
9.44203057632488, 5930.640625
9.44986200279929, 5886.9375
9.45769311166976, 4165.328125
9.46552390596407, 2094.875
9.47335438871, 875.953125
9.48118456293533, 464.890625
9.48901443166784, 369.890625
9.496843997935311, 362.09375
9.50467326476552, 321.328125
9.51250223518625, 255.53125
9.52033091222528, 210.140625
9.52815929891039, 183.109375
9.535987398269361, 168.578125
9.543815213329971, 163.25
9.551642747119999, 165.90625
9.55947000266723, 166.8125
9.56729698299944, 165.125
9.575123691144409, 172.03125
9.58295013012992, 177.875
9.590776302983748, 213.90625
9.598602212733681, 297.296875
9.60642786240749, 442.140625
9.61425325503296, 594.859375
9.62207839363787, 650.640625
9.629903281249998, 558.59375
9.637727920897131, 445.15625
9.645552315607041, 368.5
9.653376468407508, 287.046875
9.66120038232632, 252.71875
9.66902406039125, 268.96875
9.676847505630079, 310.640625
9.684670721070589, 350.75
9.69249370974056, 330.28125
9.700316474667769, 271.46875
9.70813901888, 244.9375
9.71596134540503, 215.71875
9.72378345727064, 184.859375
9.731605357504609, 161.0
9.739427049134719, 147.890625
9.74724853518875, 144.46875
9.75506981869448, 153.109375
9.76289090267969, 185.09375
9.77071179017216, 269.4375
9.778532484199669, 389.796875
9.78635298779, 525.671875
9.79417330397093, 649.859375
9.801993435770239, 708.6875
9.809813386215708, 662.515625
9.81763315833512, 543.03125
9.825452755156249, 376.609375
9.83327217970688, 224.9375
9.84109143501479, 156.96875
9.84891052410776, 140.9375
9.85672945001357, 136.28125
9.86454821576, 129.265625
9.87236682437483, 132.078125
9.88018527888584, 133.203125
9.88800358232081, 132.328125
9.89582173770752, 134.453125
9.90363974807375, 140.6875
9.91145761644728, 157.765625
9.91927534585589, 173.734375
9.927092939327359, 190.890625
9.934910399889471, 194.75
9.94272773057, 183.59375
9.95054493439673, 161.25
